"Captain America, Thor and Ultron all inhabit what fictional milieu?",['Marvel Universe']
Fictional placements within this setting are modeled off what?,['real-life cities']
Spiderman's fictional city is based off what real American location?,['New York']
What Marvel character's stories are set in an area resembling the American Southwest?,['Hulk']
Which two groups of Marvel crimefighters are based in a fictional version of New York City?,"['the Fantastic Four, the Avengers']"
Who originally founded Marvel Comics?,['Martin Goodman']
What was the original name of Marvel Comics?,['Timely Publications']
When was Marvel founded?,['1939']
In what city was Marvel based when it was founded?,['New York City']
What was Abraham Goodman's official title when Marvel was founded?,['publisher']
What was the cover date on Marvel Comics #1?,['Oct. 1939']
Who was Marvel/Timely's first true full-time editor?,['Joe Simon']
"Besides Simon, who co-created Captain America?",['Jack Kirby']
What is the name of the character created by Carl Burgos?,['the Human Torch']
"In what issue was Namor, The Sub-Mariner introduced?",['Marvel Comics #1']
What cartoon humorist did some high profile stories for Marvel in the early years?,['Basil Wolverton']
What was the name of the humorous feature penned by Wolverton?,"['""Powerhouse Pepper""']"
What duo of kid-themed characters were featured in early Marvel issues?,['Ziggy Pig and Silly Seal']
What early Marvel character may have been envisioned as a female counterpoint to Captain America?,['Miss America']
The most popular early Marvel heroes were collectively and colloquially known as what?,"['""big three""']"
Marvel Comics was part of many entities having what relationship with Timely?,['shell companies']
When were all of Goodman's comic entities officially put under the moniker of Marvel Comics?,['1961']
By what other name were some Marvel-related comic books published?,"['""A Marvel Magazine""']"
Under what handle were Marvel's detective fiction comics published?,['Marvel Mystery Comics']
Which writer and artist was behind the Sub-Mariner?,['Bill Everett']
"What was Marvel's major offshoot with Westerns, war stories, and monster comics called?",['Atlas']
What was Dan DeCarlo's spooky but humorous comic aimed at kids called?,['Homer the Happy Ghost']
DeCarlo also penned a knock-off of what teen comic superstar?,['Archie Andrews']
What was the name of DeCarlo's main character in his humorous teen series?,['Homer Hooper']
Marvel's first team of superheroes was known by what alliterative name?,['The Fantastic Four']
What was the issue date when this superhero team debuted?,['Nov. 1961']
What Marvel executive helped change the focus of Marvel's stories and characters?,['Stan Lee']
"In the Marvel Universe, the public treated conferred what response on the Fantastic Four?",['celebrity status']
What is Marvel's best-selling comic?,['The Amazing Spider-Man']
Who joined with Stan Lee in creating the Fantastic Four?,['Jack Kirby']
What historic era did the Fantastic Four initially inhabit?,['Cold War']
What traditional superhero element did the Fantastic Four initially do without?,['costumes']
None of the Fantastic Four had what hidden element so common to other superheroes?,['secret identities']
The emphasis on relatable settings and character motivations in Marvel's 1960s comics is called what?,"['""superheroes in the real world""']"
What magazine featured two Marvel Characters in a college campus heroes feature?,['Esquire']
What two Marvel characters were part of that campus heroes section?,['Spider-Man and the Hulk']
Which publisher is Marvel's biggest rival?,['DC Comics']
Writer Geoff Boucher compared DC to what dull 1960s crooner?,['Pat Boone']
What two real life persons were also part of the magazine feature alongside fictional Marvel characters?,['John F. Kennedy and Bob Dylan']
What actual US cities have fictional equivalents in Marvel's comic milieu?,"['New York, Los Angeles and Chicago']"
What Marvel hero is related to a tiny insect?,['Ant-Man']
The shared milieu inhabited by all Marvel heroes and villains is known as?,['the Marvel Universe']
Which two comic book titles were the precursors to the widening of this overall setting?,['Spider-Man and the Fantastic Four']
How many comics did Marvel sell during 1968?,['50 million']
What company was distributing Marvel's titles at that point?,['Independent News']
To whom was Marvel sold in 1968?,['the Perfect Film and Chemical Corporation']
What wholly-owned affiliate of this company did Marvel operate within?,['Magazine Management Company']
What distributor took over Marvel's titles in 1969?,['Curtis Circulation Company']
