What did many people in the Pre-Modern era express their faith through?,"""via a faith in some form of deity"""
What term was coined in the 16th century to indicate present time?,"""modern"""
What term was created in the 1930's to separate the middle ages form the 1800's?,"""Early Modern"""
In what era were there many socio-technological trends?,"""Contemporary era"""
Who controlled the Asian Sphere during the period between 1600-1868?,"""Chinese dynasties and Japanese shogunates"""
Name one of the reasons urbanization grew in China.,"""population grew"""
What was founded after the fall of the Ming?,"""The Qing dynasty"""
What was society based on during the Tukugawa period?,"""strict class hierarchy"""
Who ruled most of India in the early 18th century?,"""Mughal Empire"""
What did the development of new imperialism cause?,"""the conquest of nearly all eastern hemisphere territories by colonial powers."""
In what year did the Maratha states lose to the British East Company?,"""1818"""
What dispatched of The Dutch East India Company and the British East India Company?,"""their respective governments"""
In what year did the fall of Constantinople happen? ,"""1453"""
When did Russia experience territorial growth?,"""the 17th century"""
What bridged the middle ages to the modern era?,"""European intellectual transformation"""
From where does the phrase humanist originate? ,"""the 15th century"""
What did renaissance humanism reference?,"""Latin and Greek classical texts"""
What was the basis of the quarrel between the Ancients and the moderns?,"""literary and artistic"""
What did the Scientific Revolution cause?,"""a transition to modern science"""
What happened to the king after the trial?,"""execution of the king"""
What characterized the Napoleonic Era?,"""The campaigns of French Emperor and General Napoleon Bonaparte"""
What is Italian Unification?,"""social movement that annexed different states of the Italian peninsula into the single state of Italy"""
What event did the American revolution cause?,"""British monarchy itself to become the sovereign United States of America."""
Where did the American Revolution start?,"""Lexington and Concord"""
What is the decolonization of the Americas? ,"""the process by which the countries in the Americas gained their independence from European rule."""
Who did the central Junta fall to?,"""the French"""
When did the first industrial revolution merge into the second? ,"""around 1850"""
What is industrialization? ,"""social and economic change"""
When did the modern petroleum industry start? ,"""1846"""
In what fields did achievements occur during the revolution?,"""electrification to developments in materials science."""
Thomas Edison is credited with?,"""the creation of the first industrial research laboratory"""
When did the European revolutions occur?,"""1848"""
What did the reformers look to to solve social problems?,"""Scientific Revolution and industrial progress"""
Under whom was Russia declared an empire?,"""Peter I"""
What was the Victorian era of the United Kingdom? ,"""the period of Queen Victoria's reign"""
What did defeating Napoleon leave Britain without?,"""any serious international rival"""
What was British imperial strength replace by?,"""steamship and the telegraph"""
The Bourbon Restoration followed what event?,"""Napoleon I of France"""
What countries were involved in the Franco-Russian war?,"""France and Prussia"""
Why did European powers lay claim to areas Africa?,"""exhibit a sphere of influence over the area"""
What percent of the worlds population did Africa posses at the Berlin Conference?,"""one-fifth"""
Through what period did European powers expand control in Africa?,"""1880s to 1914"""
What was the Meija era marked by?,"""the reign of the Meiji Emperor"""
Laws mandated that every able bodies Japanese citizen do what?,"""serve a mandatory term of three years with the first reserves and two additional years with the second reserves."""
What is the antebellum age?,"""a period of increasing division in the country based on the growth of slavery"""
What did northern leaders agree on about slavery?,"""all forms of slavery or quasi-slavery had to be eliminated."""
What happened in the Glided Age/,"""extravagant displays of wealth and excess of America's upper-class"""
What creations brought in the modern industrial economy?,"""transportation and communication infrastructure"""
When did modern physics arise?,"""early 20th century"""
Why did Chinese philosophy begin to mix with western concepts?,"""as steps toward modernization"""
When was the enlightenment of spiritual philosophy challenged?,"""in various quarters around the 1900s."""
What is Albert Einstein known for? ,"""his theories of special relativity and general relativity"""
What is the federation of Australia?,"""six separate British self-governing colonies of New South Wales, Queensland, South Australia, Tasmania, Victoria and Western Australia formed one nation."""
What were the last days of the Qing dynasty marked by? ,"""civil unrest and foreign invasions."""
When was the Republic of China established?,"""1912"""
What happened to China after the 20th century revolutions?,"""shifting alliances of China's regional warlords waged war for control of the Beijing government."""
When dd the Russo-Japanese war take place?,"""Four years into the 20th century"""
What is the Edwardian era?,"""the period spanning the reign of King Edward VII up to the end of the First World War,"""
What is The Triple Entente?,"""the name given to the loose alignment between the United Kingdom, France, and Russia after the signing of the Anglo-Russian Entente in 1907."""
Where was the Baghdad Railway Suppose to connect?,"""Ottoman Empire cities of Konya and Baghdad with a line through modern-day Turkey, Syria and Iraq"""
When did the first World War begin? ,"""1914"""
Where did most of the fighting in World War I take place?,"""along the Western Front"""
In what century did the Nationalistic revolutions occur?,"""mid-19th century's"""
What event happened in October of 1917?,"""a red faction revolution"""
When was the armistice signed between Russia and Central powers?,"""1917"""
Where did Soviets under the rule of the  Bolshevik first assume power during the Russian Civil War?,"""Petrograd (St. Petersburg)"""
Who was the principal fighting between?,"""Bolshevik Red Army and the forces of the White Army."""
What did the May Fourth movement help do?,"""rekindle the then-fading cause of republican revolution."""
"What is the ""Roaring Twenties"" ?","""social and societal upheaval"""
When did the hyperinflation of  1923 occur?,"""1923"""
What changed worldwide property drasrically?,"""the onset of the Great Depression"""
Where did the depression cause negative effects?,"""virtually every country"""
When did Americas Great Depression end?,"""1941"""
When was The League of Nations created?,"""after the First World War"""
Who was first to invade Manchuria?,"""Japan"""
When did the seizure of Manchuria occur?,"""September 1931"""
What did the United States place on Japans war efforts?,"""embargoes"""
Where did Japan attack the United States?,"""Pearl Harbor"""
What Was estimated amount of deaths during the war?,"""62 million"""
What is the Holocaust?,"""was the deliberate and systematic murder of millions of Jews and other ""unwanted"""""
What was Europe split into after World War II?,"""Western and Soviet spheres of influence."""
By what percentage did the world's per-capita gross domestic product grow by during the 20th century?,"""a factor of five"""
What did the media industry make possible in the middle of the century?,"""brutal dictatorships"""
what did the Soviet Union annex some of it's territory as?,"""Soviet Socialist Republics"""
Through what time period did the Berlin Blockade  last?,"""1948–1949"""
During what time was the cold war close to happening?,"""1980s and the early 1990s"""
What caused Latin America's right-wing authorities to support coup o'etats?,"""in the 1970s, leftists acquired a significant political influence"""
What is the space age?,"""a period encompassing the activities related to the Space Race, space exploration, space technology, and the cultural developments influenced by these events."""
