What did many people in the Pre-Modern era express their faith through?,"""via a faith in some form of deity"""
What were Religious officials perceived as in the Pre-Modern era?,"""spiritual intermediaries"""
Through whom did the general masses have access to the divine?,"""Religious officials"""
What belief did ancient cultures consider sacred?,"""Tradition"""
How were the moral standards of ancient cultures enforced?,"""strictly"""
Who were spiritual intermediates? ,"""Religious officials"""
Peoples sense of worth was expressed through what in the Pre-modern era?,"""via a faith in some form of deity"""
Through who did the masses have access to the divine?,"""spiritual intermediaries"""
What did social order mandate be strictly enforced?,"""ceremony and morals"""
What belief was considered sacred by ancient civilizations?,"""Tradition"""
What term was coined in the 16th century to indicate present time?,"""modern"""
"The term ""modern"" was derived from what Latin adverb?","""modo"""
What caused the transition between the middle ages and early modern times?,"""The European Renaissance"""
In what country did The European Renaissance start?,"""Italy"""
What two instruments were invented during The European Renaissance?,"""telescope and microscope"""
The phrase modern originated form what?,"""Latin adverb modo"""
What did The European renaissance mark?,"""transition between the Late Middle Ages and Early Modern times"""
What phrase was coined in the 16th century to reference recent times?,"""modern"""
Through what time period did The European renaissance last?,"""1420–1630)"""
In what country did The European renaissance begin?,"""Italy"""
What term was created in the 1930's to separate the middle ages form the 1800's?,"""Early Modern"""
"The 1800""s are referred to as?","""time of the late Enlightenment"""
"What do the terms ""Early Modern"" and  'Modern Ages"" originate from?","""European history"""
"What are the terms ""Early Modern"" and ""Modern Ages"" used for i other countries?","""in the context with their contact with European culture in the Age of Discovery."""
"What does the term ""Early Modern"" mean?","""to distinguish the time between what we call Middle Ages and time of the late Enlightenment"""
"When was the term ""Early Modern"" implemented into the English language?","""1930s"""
What time period is referred to as The Late Enlightenment?,"""1800"""
"Where do the terms ""Middle Ages"" and ""Modern Ages"" originate from?","""European history"""
"What are the terms ""Middle Ages"" and ""Modern Ages"" used for in other countries?","""in the context with their contact with European culture in the Age of Discovery."""
In what era were there many socio-technological trends?,"""Contemporary era"""
The 21st century is refereed to as what?,"""the Information age"""
What device was used most during the The Information age?,"""computers"""
What was a major concern for Western civilization during the 21 century?,"""terrorist acts"""
In what time were there many socio-technological trends?,"""Contemporary era"""
What is the 21st century also known as?,"""the Information age"""
What device was used most during 21st century?,"""computers"""
What was considered a threat to Western civilization?,"""terrorist acts"""
Who controlled the Asian Sphere during the period between 1600-1868?,"""Chinese dynasties and Japanese shogunates"""
What is the period between 1600-1868 referred to as?,"""the Edo period"""
What is the Edo period also known as?,"""the early modern period"""
"What is time is considered the ""Modern Period"" in Korea?","""from the rising of Joseon Dynasty to the enthronement of King Gojong"""
Name one of the tribes Native Americans established in the Americas.,"""Aztec Empire"""
What two groups controlled the Asian Sphere?,"""Chinese dynasties and Japanese shogunates"""
What time is referred to as the Edo period?,"""1600 to 1868"""
"What is the 'Early Modern period"" known as in Japan?","""the rising of Joseon Dynasty to the enthronement of King Gojong"""
Name one of the tribes Native Americans formed in the Americas?,"""Aztec Empire"""
Name one of the reasons urbanization grew in China.,"""population grew"""
What did Nanjing and Beijing contribute to?,"""growth of private industry"""
What are Nanjing and Beijing?,"""Large urban centers"""
Under what rule was China not isolated?,"""the early Ming dynasty"""
During The Early MIng Dynasty Chinese merchants explored all of what?,"""Indian Ocean"""
What caused urbanization to increase in China?,"""the population grew"""
Where did Chinese merchants explore? ,"""all of the Indian Ocean"""
What was founded after the fall of the Ming?,"""The Qing dynasty"""
The Qing dynasty lasted through what time period?,"""1644–1911"""
What were the Manchus originally known as?,"""the Jurchens"""
Why did the last Ming Emperor commit suicide?,"""Beijing was captured by Li Zicheng's peasant rebels"""
Who became allies with the Manchus to seize control over Beijing?,"""former Ming general Wu Sangui"""
The Qing dynasty formed after what event?,"""after the fall of the Ming"""
During what time period did the Qing dynasty rule?,"""1644–1911"""
What were the Manchus originally named?,"""Jurchens"""
Who was Beijing captured by in 1644?,"""Li Zicheng's peasant rebels"""
Who did the Manchus make an Ally with to seize control of Beijing?,"""former Ming general Wu Sangui"""
What was society based on during the Tukugawa period?,"""strict class hierarchy"""
Strict class hierarchy was established by who?,"""Toyotomi Hideyoshi"""
What group were considered to be at the top of the Strict Class Hierarchy?,"""The daimyo, or lords"""
How were taxes charged during the Tukugawa period?,"""set at fixed amounts"""
What effect did  having taxes charged at a fixed amount have on it's revenue?,"""tax revenues collected by the samurai landowners were worth less and less over time."""
What is the Tokugawa period also known as?,"""Edo society"""
What was society in  the Tokugawa period based in?,"""strict class hierarchy"""
What group was considered at the top of the Strict Class Society?,"""The daimyo, or lords,"""
What effect did the way the taxes were charged have on it's revenue.,"""revenues collected by the samurai landowners were worth less and less over time."""
How were taxes charged in the Tokugawa period?,"""set at fixed amounts"""
Who ruled most of India in the early 18th century?,"""Mughal Empire"""
"How did the ""Classic Period"" end?","""the death and defeat of Emperor Aurangzeb in 1707"""
Who was behind the death off Emperor Aurangzeb?,"""Hindu Maratha Empire"""
Where was the The Maratha Empire centralized?,"""south west of present-day India"""
What happened when the  Maratha Army lost the third battle of Panipat?,"""the empire was then divided into a confederacy of Maratha states."""
Who ruled most of India in the 18 century?,"""Mughal Empire"""
"What event ended the ""classic period""?","""the death and defeat of Emperor Aurangzeb"""
What caused the death of Emperor Auranzeb? ,"""the rising Hindu Maratha Empire,"""
Where was the Maratha Empire centralized?,"""south west of present-day India"""
What caused the Maratha Empire to split in 1761?,"""the Maratha army lost the Third Battle of Panipat"""
What did the development of new imperialism cause?,"""the conquest of nearly all eastern hemisphere territories by colonial powers."""
When did the commercial colonization of India begin?,"""1757"""
What happened n the battle of Plassey?,"""Nawab of Bengal surrendered his dominions to the British East India Company"""
When was the British East Company given the right to collect revenue?,"""1765"""
"What is the term used to describe the ""Right to collect revenue""?","""diwani"""
In what year did the Maratha states lose to the British East Company?,"""1818"""
What was the name of the war lost by the Maratha states in 1818?,"""the Third Anglo-Maratha War"""
How long did the British east Indian Company rule last after the war?,"""1858"""
What caused the British east Indian Company rule to end?,"""the Indian rebellion of 1857 and consequent of the Government of India Act 1858"""
What did Britain establish in 1824?,"""Singapore as a key trading post"""
What dispatched of The Dutch East India Company and the British East India Company?,"""their respective governments"""
What country did not have to succumb to forign rule?,"""Thailand"""
Who also profited from Southeast Asia resources?,"""colonial powers"""
In what year did the fall of Constantinople happen? ,"""1453"""
When is the modern period dated in England?,"""Battle of Bosworth in 1485"""
Who was defeated by Henry Vll at the battle of Bosworth?,"""Richard III"""
When did Russia experience territorial growth?,"""the 17th century"""
The 17th century is also known as?,"""age of Cossacks."""
Who joined the Cossacks in 1648?,"""peasants of Ukraine"""
Who are Cossacks?,"""warriors organized into military communities"""
Why dd the Peasants of Ukraine join the Cossacks?,"""in rebellion against Poland-Lithuania"""
What bridged the middle ages to the modern era?,"""European intellectual transformation"""
What is regarded as the start of modern philosophy? ,"""The Age of Reason"""
What does the Age of Rationalism succeed? ,"""Renaissance philosophy"""
What is 17th century philosophy also referred to as?,"""the Age of Rationalism"""
What did the beginning of the 18th century mark the beginning of in Europe? ,"""secularization"""
From where does the phrase humanist originate? ,"""the 15th century"""
What is the basic training of a humanist?,"""speak well and write"""
Where did Enlightenment gain momentum?,"""Europe and America"""
What was the age of Enlightenment centered on?,"""the 18th century in which reason was advocated as the primary source and legitimacy for authority."""
What were the studia humanitatis competing against?,"""quadrivium and scholastic logic."""
What did renaissance humanism reference?,"""Latin and Greek classical texts"""
renaissance humanism was antagonistic to what?,"""scholasticism"""
What did renaissance humanism place an emphasis on?,"""accumulated commentaries"""
What was the basis of the quarrel between the Ancients and the moderns?,"""literary and artistic"""
In what time period did the quarrel between the Ancients and the Moderns peak?,"""early 1690s"""
Moderns support the merits of whom?,"""authors of the century of Louis XIV. Fontenelle"""
What did Louis XIV believe about the modern man?,"""modern scholarship allowed modern man to surpass the ancients in knowledge."""
What did the Scientific Revolution cause?,"""a transition to modern science"""
What s the Scientific Revolution?,"""a period when European ideas in classical physics, astronomy, biology, human anatomy, chemistry, and other classical sciences were rejected"""
What did Scientific Revolution form?,"""several modern scientific fields."""
What did the Scientific Revolution force people to do?,"""question all manners of things"""
What happened to the king after the trial?,"""execution of the king"""
Who else was involved in the warfare?,"""every other major European power."""
name an event that can be contributed to the revolution.,"""the Napoleonic Wars"""
What characterized the Napoleonic Era?,"""The campaigns of French Emperor and General Napoleon Bonaparte"""
Where was Napoleon Bonaparte born?,"""Corsica"""
Where was Napoleon Bonaparte die? ,"""St. Helena"""
Why were Europe's Empires and Kingdoms dispatched?,"""surge of Republicanism"""
From where did the French empire rule a large portion of Europe?,"""Paris"""
What is Italian Unification?,"""social movement that annexed different states of the Italian peninsula into the single state of Italy"""
When did the Italian Unification occur?,"""in the 19th century"""
